######################### Start train #########################
Tot_step: 626359 	 | Episode: 2440 	 | Time: 991.10 	 | Reward : 5100.201 	 | actor_loss : -316.129 	 | critic_loss : 53.218
Tot_step: 646359 	 | Episode: 2460 	 | Time: 1000.00 	 | Reward : 5150.776 	 | actor_loss : -322.066 	 | critic_loss : 51.666
Tot_step: 666359 	 | Episode: 2480 	 | Time: 1000.00 	 | Reward : 5160.892 	 | actor_loss : -327.161 	 | critic_loss : 50.640
Tot_step: 686359 	 | Episode: 2500 	 | Time: 1000.00 	 | Reward : 5155.146 	 | actor_loss : -332.321 	 | critic_loss : 49.833
Tot_step: 706320 	 | Episode: 2520 	 | Time: 998.05 	 | Reward : 5157.863 	 | actor_loss : -337.362 	 | critic_loss : 49.160
Tot_step: 726320 	 | Episode: 2540 	 | Time: 1000.00 	 | Reward : 5179.573 	 | actor_loss : -340.518 	 | critic_loss : 48.381
Tot_step: 745905 	 | Episode: 2560 	 | Time: 979.25 	 | Reward : 5057.887 	 | actor_loss : -344.956 	 | critic_loss : 46.981
Tot_step: 765905 	 | Episode: 2580 	 | Time: 1000.00 	 | Reward : 5188.537 	 | actor_loss : -348.706 	 | critic_loss : 46.643
Tot_step: 785396 	 | Episode: 2600 	 | Time: 974.55 	 | Reward : 5067.306 	 | actor_loss : -351.135 	 | critic_loss : 46.047
Tot_step: 805236 	 | Episode: 2620 	 | Time: 992.00 	 | Reward : 5167.481 	 | actor_loss : -354.357 	 | critic_loss : 45.450
Tot_step: 823839 	 | Episode: 2640 	 | Time: 930.15 	 | Reward : 4805.032 	 | actor_loss : -356.816 	 | critic_loss : 44.990
Tot_step: 843113 	 | Episode: 2660 	 | Time: 963.70 	 | Reward : 4996.887 	 | actor_loss : -358.977 	 | critic_loss : 44.001
Tot_step: 862424 	 | Episode: 2680 	 | Time: 965.55 	 | Reward : 5007.874 	 | actor_loss : -361.065 	 | critic_loss : 43.476
Tot_step: 882016 	 | Episode: 2700 	 | Time: 979.60 	 | Reward : 5068.043 	 | actor_loss : -364.407 	 | critic_loss : 43.379
Tot_step: 901684 	 | Episode: 2720 	 | Time: 983.40 	 | Reward : 5073.534 	 | actor_loss : -366.612 	 | critic_loss : 43.129
Tot_step: 921684 	 | Episode: 2740 	 | Time: 1000.00 	 | Reward : 5178.147 	 | actor_loss : -367.870 	 | critic_loss : 42.168
Tot_step: 941419 	 | Episode: 2760 	 | Time: 986.75 	 | Reward : 5124.930 	 | actor_loss : -371.638 	 | critic_loss : 42.167
Tot_step: 960078 	 | Episode: 2780 	 | Time: 932.95 	 | Reward : 4841.448 	 | actor_loss : -374.028 	 | critic_loss : 42.271
Tot_step: 980078 	 | Episode: 2800 	 | Time: 1000.00 	 | Reward : 5213.976 	 | actor_loss : -374.750 	 | critic_loss : 42.124
Tot_step: 1000078 	 | Episode: 2820 	 | Time: 1000.00 	 | Reward : 5199.889 	 | actor_loss : -374.596 	 | critic_loss : 41.904
Tot_step: 1020078 	 | Episode: 2840 	 | Time: 1000.00 	 | Reward : 5210.250 	 | actor_loss : -378.593 	 | critic_loss : 38.422
Tot_step: 1039427 	 | Episode: 2860 	 | Time: 967.45 	 | Reward : 5045.202 	 | actor_loss : -389.153 	 | critic_loss : 34.938
Tot_step: 1059427 	 | Episode: 2880 	 | Time: 1000.00 	 | Reward : 5219.961 	 | actor_loss : -400.385 	 | critic_loss : 31.854
Tot_step: 1079201 	 | Episode: 2900 	 | Time: 988.70 	 | Reward : 5184.852 	 | actor_loss : -410.540 	 | critic_loss : 28.991
Tot_step: 1099201 	 | Episode: 2920 	 | Time: 1000.00 	 | Reward : 5319.218 	 | actor_loss : -420.325 	 | critic_loss : 26.032
Tot_step: 1116644 	 | Episode: 2940 	 | Time: 872.15 	 | Reward : 4635.821 	 | actor_loss : -429.303 	 | critic_loss : 23.865
Tot_step: 1134262 	 | Episode: 2960 	 | Time: 880.90 	 | Reward : 4686.146 	 | actor_loss : -436.318 	 | critic_loss : 22.649
Tot_step: 1152275 	 | Episode: 2980 	 | Time: 900.65 	 | Reward : 4765.409 	 | actor_loss : -441.961 	 | critic_loss : 21.610
Tot_step: 1169401 	 | Episode: 3000 	 | Time: 856.30 	 | Reward : 4540.595 	 | actor_loss : -446.051 	 | critic_loss : 26.773
Tot_step: 34 	 | Episode: 20 	  | Reward : 114.7813642766395 	 
Tot_step: 54 	 | Episode: 40 	  | Reward : 197.99829063724286 	 
Tot_step: 74 	 | Episode: 60 	  | Reward : 277.63000478461953 	 
Tot_step: 94 	 | Episode: 80 	  | Reward : 363.92573293784835 	 
Tot_step: 114 	 | Episode: 100 	  | Reward : 451.52658220711 	 
Tot_step: 134 	 | Episode: 120 	  | Reward : 546.6892448786691 	 
Tot_step: 154 	 | Episode: 140 	  | Reward : 642.4074637166294 	 
Tot_step: 174 	 | Episode: 160 	  | Reward : 737.0811868819721 	 
Tot_step: 194 	 | Episode: 180 	  | Reward : 832.0285685072588 	 
Tot_step: 214 	 | Episode: 200 	  | Reward : 925.5294257446016 	 
Tot_step: 234 	 | Episode: 220 	  | Reward : 1018.0859073397714 	 
Tot_step: 254 	 | Episode: 240 	  | Reward : 1110.9829815369399 	 
Tot_step: 274 	 | Episode: 260 	  | Reward : 1205.5164398437241 	 
Tot_step: 294 	 | Episode: 280 	  | Reward : 1299.4235536731499 	 
